BusinessEntityID,FirstName,LastName,NationalIDNumber,JobTitle,BirthDate,HireDate,VacationHours,SickLeaveHours
1,Ken,Sánchez,295847284,Chief Executive Officer,1/29/1969,1/14/2009,99,69
2,Terri,Duffy,245797967,Vice President of Engineering,8/1/1971,1/31/2008,1,20
3,Roberto,Tamburello,509647174,Engineering Manager,11/12/1974,11/11/2007,2,21
4,Rob,Walters,112457891,Senior Tool Designer,12/23/1974,12/5/2007,48,80
5,Gail,Erickson,695256908,Design Engineer,9/27/1952,1/6/2008,5,22
6,Jossef,Goldberg,998320692,Design Engineer,3/11/1959,1/24/2008,6,23
7,Dylan,Miller,134969118,Research and Development Manager,2/24/1987,2/8/2009,61,50
8,Diane,Margheim,811994146,Research and Development Engineer,6/5/1986,12/29/2008,62,51
9,Gigi,Matthew,658797903,Research and Development Engineer,1/21/1979,1/16/2009,63,51
10,Michael,Raheem,879342154,Research and Development Manager,11/30/1984,5/3/2009,16,64
11,Ovidiu,Cracium,974026903,Senior Tool Designer,1/17/1978,12/5/2010,7,23
12,Thierry,D'Hers,480168528,Tool Designer,7/29/1959,12/11/2007,9,24
13,Janice,Galvin,486228782,Tool Designer,5/28/1989,12/23/2010,8,24
14,Michael,Sullivan,42487730,Senior Design Engineer,6/16/1979,12/30/2010,3,21
15,Sharon,Salavaria,56920285,Design Engineer,5/2/1961,1/18/2011,4,22
16,David,Bradley,24756624,Marketing Manager,3/19/1975,12/20/2007,40,40
17,Kevin,Brown,253022876,Marketing Assistant,5/3/1987,1/26/2007,42,41
18,John,Wood,222969461,Marketing Specialist,3/6/1978,2/7/2011,48,44
19,Mary,Dempsey,52541318,Marketing Assistant,1/29/1978,2/14/2011,43,41
20,Wanida,Benshoof,323403273,Marketing Assistant,3/17/1975,1/7/2011,41,40
21,Terry,Eminhizer,243322160,Marketing Specialist,2/4/1986,3/2/2009,44,42
22,Sariya,Harnpadoungsataya,95958330,Marketing Specialist,5/21/1987,12/12/2008,45,42
23,Mary,Gibson,767955365,Marketing Specialist,9/13/1962,1/12/2009,46,43
24,Jill,Williams,72636981,Marketing Specialist,6/18/1979,1/18/2009,47,43
25,James,Hamilton,519899904,Vice President of Production,1/7/1983,2/3/2009,64,52
26,Peter,Krebs,277173473,Production Control Manager,11/3/1982,12/1/2008,43,41
27,Jo,Brown,446466105,Production Supervisor - WC60,10/8/1956,2/27/2008,80,60
28,Guy,Gilbert,14417807,Production Technician - WC60,3/13/1988,6/30/2006,21,30
