#500-75 O'Connor Street,NULL,Ottawa,532
#9900 2700 Production Way,NULL,Burnaby,497
"00, rue Saint-Lazare",NULL,Dunkerque,29781
"02, place de Fontenoy",NULL,Verrieres Le Buisson,24231
"035, boulevard du Montparnasse",NULL,Verrieres Le Buisson,19637
"081, boulevard du Montparnasse",NULL,Saint-Denis,15671
"081, boulevard du Montparnasse",NULL,Seattle,13079
"084, boulevard du Montparnasse",NULL,Les Ulis,21354
1 Corporate Center Drive,NULL,Miami,910
1 Mt. Dell Drive,NULL,Portland,322
1 Smiling Tree Court,Space 55,Los Angeles,12037
"1, allée des Princes",NULL,Courbevoie,20437
"1, avenue des Champs-Elysées",NULL,Paris,21843
"1, boulevard Beau Marchais",NULL,Sèvres,12753
"1, cours Mirabeau",NULL,Roncq,20289
"1, place Beaubernard",NULL,Paris,16455
"1, place Beaubernard",NULL,Paris,18991
"1, place Beaubernard",NULL,Saint-Denis,27348
"1, place Beaubernard",NULL,Tremblay-en-France,26115
"1, place de Brazaville",NULL,Colomiers,29410
"1, place de Brazaville",NULL,Dunkerque,26916
"1, place de Brazaville",NULL,Lille,28885
"1, place de la République",NULL,Paris,708
"1, rue de Courtaboeuf",NULL,Lieusaint,23902
"1, rue de Courtaboeuf",NULL,Lille,20814
"1, rue de Courtaboeuf",NULL,Versailles,29062
"1, rue de Fontfroide",NULL,Paris,21273
"1, rue de l´Avenir",NULL,Chatou,28830
"1, rue de l´Avenir",NULL,Morangis,17417
"1, rue de la Cavalerie",NULL,Paris La Defense,24416
"1, rue de la Cavalerie",NULL,Roncq,21700
"1, rue de la Cavalerie",NULL,Sèvres,15839
"1, rue de la Centenaire",NULL,Cergy,23481
"1, rue de la Centenaire",NULL,Colombes,29507
"1, rue de la Centenaire",NULL,Les Ulis,26346
"1, rue de la Centenaire",NULL,Lille,11774
"1, rue de la Centenaire",NULL,Roubaix,22052
"1, rue de la Centenaire",NULL,Saint-Denis,28024
"1, rue de la Centenaire",NULL,Versailles,18707
"1, rue de Maubeuge",NULL,Metz,19300
"1, rue de Maubeuge",NULL,Morangis,16304
"1, rue de Maubeuge",NULL,Paris,16055
"1, rue de Maubeuge",NULL,Paris,27160
"1, rue de Maubeuge",NULL,Saint Germain en Laye,19001
"1, rue de Maubeuge",NULL,Villeneuve-d'Ascq,25114
"1, rue de Varenne",NULL,Boulogne-Billancourt,26175
"1, rue de Varenne",NULL,Dunkerque,23032
"1, rue Georges-Clémenceau",NULL,Paris,23381
"1, rue Lamarck",NULL,Versailles,23028
"1, rue Pierre-Demoulin",NULL,Croix,23625
"1, rue Pierre-Demoulin",NULL,Les Ulis,21822
"1, rue Pierre-Demoulin",NULL,Orleans,22345
"1, rue Pierre-Demoulin",NULL,Paris,13410
"1, rue Pierre-Demoulin",NULL,Paris,15845
"1, rue Ste-Honoré",NULL,Saint Ouen,19933
10 Napa Ct.,NULL,Lebanon,12062
"10, avenue de Norvege",NULL,Paris,18835
"10, avenue du Port",NULL,Roissy en Brie,18016
"10, avenue du Président-Kennedy",NULL,Paris,12138
"10, impasse Ste-Madeleine",NULL,Tremblay-en-France,29409
"10, place Beaubernard",NULL,Verrieres Le Buisson,29816
"10, place de Fontenoy",NULL,Roubaix,17611
"10, route de Marseille",NULL,Pantin,28379
"10, rue de l´Avenir",NULL,Suresnes,22261
"10, rue de la Centenaire",NULL,Saint-Denis,25952
"10, rue de la Comédie",NULL,Lille,20955
"10, rue de Maubeuge",NULL,Orleans,23045
"10, rue des Vendangeurs",NULL,Saint Germain en Laye,14096
"10, rue Lafayette",NULL,Paris,20738
"10, rue Lauriston",NULL,Bobigny,24898
"10, rue Philibert-Delorme",NULL,Paris,29847
"10, rue Pierre-Demoulin",NULL,Orleans,26855
"10, rue Royale",NULL,Courbevoie,20876
"10, rue Royale",NULL,Sèvres,16163
100 Fifth Drive,NULL,Millington,911
"100, boulevard d´Albi",NULL,Paris,27590
"100, rue de la Centenaire",NULL,Paris La Defense,26489
"100, rue des Rosiers",NULL,Everett,18967
"100, rue des Rosiers",NULL,Pantin,18205
"100, rue Descartes",NULL,Boulogne-Billancourt,29281
"100, rue Jean Mermoz",NULL,Paris,25486
"100, rue Maillard",NULL,Roubaix,25115
1000 Bidweld Street,NULL,Haney,15272
"1001, rue des Bouchers",NULL,Paris,27558
"1001bis, boulevard Saint Germain",NULL,Roubaix,18858
1002 N. Spoonwood Court,NULL,Berkeley,26229
1002 N. Spoonwood Court,NULL,Hervey Bay,24883
1003 Matterhorn Ct,NULL,Lebanon,19379
"1004, rue des Bouchers",NULL,Paris,15776
1005 Fremont Street,NULL,Colma,19638
1005 Matterhorn Ct.,NULL,Cambridge,14068
1005 Matterhorn Ct.,NULL,Mill Valley,21245
1005 Tanager Court,NULL,Corvallis,25310
1005 Tanager Court,NULL,Milsons Point,23089
1005 Valley Oak Plaza,NULL,Langley,21707
1005 Valley Oak Plaza,NULL,London,28674
"1005, rue des Bouchers",NULL,Colombes,24412
"1005, rue des Bouchers",NULL,Saint-Denis,19673
1006 Deercreek Ln,NULL,Bellflower,19506
1006 Deercreek Ln,NULL,Torrance,21094
1007 Cardinet Dr.,NULL,El Cajon,24427
1008 Lydia Lane,NULL,Burbank,22959
"1009, rue des Bouchers",NULL,Colomiers,24827
101 Adobe Dr,NULL,Coffs Harbour,11975
101 Adobe Dr,NULL,Puyallup,13715
101 Candy Rd.,NULL,Redmond,215
"101, avenue de la Gare",NULL,Peterborough,13669
"101, avenue de la Gare",NULL,Roissy en Brie,14087
"101, avenue des Champs-Elysées",NULL,Colombes,11832
"101, avenue Reille",NULL,Versailles,21677
"101, rue de Cambrai",NULL,Roubaix,17455
"101, rue de Terre Neuve",NULL,Paris,25462
"101, rue Léo Delibes",NULL,Paris,17558
1010 Maple,NULL,Baltimore,11383
"1010, avenue de l´ Union Centrale",NULL,Saint Germain en Laye,14597
"1010, impasse Notre-Dame",NULL,Orleans,21574
1011 Green St.,NULL,Bellingham,21686
1011 Yolanda Circle,NULL,Berkeley,24373
1011 Yolanda Circle,NULL,N. Vancouver,21121
"1011, avenue Foch",NULL,Pantin,25059
1013 Buchanan Rd,NULL,Port Macquarie,28226
1013 Buchanan Rd,NULL,Yakima,28485
1013 Holiday Hills Dr.,NULL,Bremerton,25633
1013 Holiday Hills Dr.,NULL,Gateshead,26683
1015 Lynwood Drive,NULL,Metchosin,20313
1016 Park Avenue,NULL,Burbank,11855
1019 Book Road,NULL,Rhodes,15922
1019 Buchanan Road,NULL,Woodland Hills,25529
1019 Candy Rd.,NULL,Coffs Harbour,18917
1019 Carletto Drive,NULL,Berkeley,21281
1019 Chance Drive,NULL,Sedro Woolley,12444
1019 Kenwal Rd.,NULL,Lake Oswego,27779
1019 Mt. Davidson Court,NULL,Burien,28433
1019 Mt. Davidson Court,NULL,London,17038
1019 Pennsylvania Blvd,NULL,Marysville,13354
102 Silverado Drive,NULL,W. Linn,355
102 Vista Place,NULL,Milton Keynes,27547
102 Vista Place,NULL,Santa Monica,15015
"102, rue de Berri",NULL,Les Ulis,11456
1020 Book Road,NULL,Bremerton,12359
